   ibin        Dp        num     dNdlogDp       kg
    1     0.00876   0.46014E-21   0.15943E-19   0.12606E-23
    2     0.00936   0.20188E-19   0.69949E-18   0.59123E-22
    3     0.01000   0.77554E-18   0.26872E-16   0.24279E-20
    4     0.01069   0.26087E-16   0.90388E-15   0.87299E-19
    5     0.01142   0.76830E-15   0.26621E-13   0.27484E-17
    6     0.01221   0.19813E-13   0.68650E-12   0.75759E-16
    7     0.01304   0.44737E-12   0.15501E-10   0.18285E-14
    8     0.01394   0.88448E-11   0.30646E-09   0.38641E-13
    9     0.01490   0.15311E-09   0.53052E-08   0.71500E-12
   10     0.01592   0.23208E-08   0.80413E-07   0.11584E-10
   11     0.01702   0.30801E-07   0.10672E-05   0.16433E-09
   12     0.01819   0.35792E-06   0.12402E-04   0.20410E-08
   13     0.01944   0.36418E-05   0.12619E-03   0.22197E-07
   14     0.02077   0.32445E-04   0.11242E-02   0.21137E-06
   15     0.02220   0.25310E-03   0.87695E-02   0.17623E-05
   16     0.02372   0.17287E-02   0.59898E-01   0.12865E-04
   17     0.02535   0.10339E-01   0.35822E+00   0.82236E-04
   18     0.02710   0.54138E-01   0.18758E+01   0.46026E-03
   19     0.02896   0.24822E+00   0.86006E+01   0.22555E-02
   20     0.03095   0.99652E+00   0.34528E+02   0.96778E-02
   21     0.03307   0.35029E+01   0.12137E+03   0.36359E-01
   22     0.03535   0.10781E+02   0.37357E+03   0.11961E+00
   23     0.03778   0.29055E+02   0.10067E+04   0.34450E+00
   24     0.04037   0.68561E+02   0.23756E+04   0.86882E+00
   25     0.04315   0.14165E+03   0.49082E+04   0.19185E+01
   26     0.04611   0.25626E+03   0.88793E+04   0.37094E+01
   27     0.04928   0.40592E+03   0.14065E+05   0.62798E+01
   28     0.05267   0.56299E+03   0.19507E+05   0.93087E+01
   29     0.05628   0.68370E+03   0.23689E+05   0.12082E+02
   30     0.06015   0.72699E+03   0.25189E+05   0.13730E+02
   31     0.06428   0.67685E+03   0.23452E+05   0.13662E+02
   32     0.06870   0.55178E+03   0.19119E+05   0.11903E+02
   33     0.07342   0.39388E+03   0.13648E+05   0.90810E+01
   34     0.07847   0.24624E+03   0.85318E+04   0.60673E+01
   35     0.08386   0.13491E+03   0.46745E+04   0.35527E+01
   36     0.08962   0.65011E+02   0.22526E+04   0.18297E+01
   37     0.09578   0.28063E+02   0.97236E+03   0.84411E+00
   38     0.10236   0.11889E+02   0.41193E+03   0.38218E+00
   39     0.10939   0.67894E+01   0.23524E+03   0.23326E+00
   40     0.11691   0.71259E+01   0.24691E+03   0.26165E+00
   41     0.12494   0.10345E+02   0.35845E+03   0.40596E+00
   42     0.13353   0.15487E+02   0.53662E+03   0.64951E+00
   43     0.14270   0.22093E+02   0.76551E+03   0.99024E+00
   44     0.15251   0.29628E+02   0.10266E+04   0.14192E+01
   45     0.16299   0.37274E+02   0.12915E+04   0.19082E+01
   46     0.17419   0.43982E+02   0.15239E+04   0.24063E+01
   47     0.18616   0.48671E+02   0.16864E+04   0.28459E+01
   48     0.19895   0.50514E+02   0.17503E+04   0.31567E+01
   49     0.21262   0.49169E+02   0.17037E+04   0.32838E+01
   50     0.22723   0.44885E+02   0.15552E+04   0.32037E+01
   51     0.24284   0.38429E+02   0.13315E+04   0.29314E+01
   52     0.25953   0.30856E+02   0.10691E+04   0.25155E+01
   53     0.27736   0.23236E+02   0.80512E+03   0.20245E+01
   54     0.29642   0.16411E+02   0.56862E+03   0.15281E+01
   55     0.31679   0.10870E+02   0.37663E+03   0.10817E+01
   56     0.33856   0.67525E+01   0.23397E+03   0.71813E+00
   57     0.36182   0.39340E+01   0.13631E+03   0.44713E+00
   58     0.38668   0.21496E+01   0.74480E+02   0.26110E+00
   59     0.41325   0.11015E+01   0.38167E+02   0.14300E+00
   60     0.44165   0.52939E+00   0.18343E+02   0.73446E-01
   61     0.47199   0.23862E+00   0.82678E+01   0.35380E-01
   62     0.50442   0.10087E+00   0.34950E+01   0.15984E-01
   63     0.53908   0.39990E-01   0.13856E+01   0.67722E-02
   64     0.57613   0.14869E-01   0.51520E+00   0.26911E-02
   65     0.61571   0.51850E-02   0.17966E+00   0.10029E-02
   66     0.65802   0.16957E-02   0.58755E-01   0.35053E-03
   67     0.70324   0.52012E-03   0.18021E-01   0.11490E-03
   68     0.75156   0.14962E-03   0.51841E-02   0.35324E-04
   69     0.80320   0.40364E-04   0.13986E-02   0.10185E-04
   70     0.85839   0.10213E-04   0.35387E-03   0.27540E-05
